Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00207,0.0,0.00205,0.0041
100,0.0009,0.00104,0.00208,0.00669
200,0.00054,0.00254,0.00258,0.00597
400,0.00111,0.00241,0.00453,0.00793

RW,050,100,200,400
050,0.16545,0.22659,0.2813,0.31836
100,0.11309,0.17617,0.24219,0.27454
200,0.07638,0.12875,0.19617,0.24253
400,0.05094,0.0866,0.14187,0.19661

R1,050,100,200,400
050,0.23012,0.34059,0.44734,0.5134
100,0.15631,0.27071,0.40191,0.48612
200,0.1105,0.20468,0.33928,0.45464
400,0.07233,0.13814,0.25126,0.38667

R2,050,100,200,400
050,0.04385,0.0755,0.11356,0.13237
100,0.03568,0.05542,0.09864,0.12101
200,0.02398,0.0526,0.08515,0.10461
400,0.01932,0.04005,0.0697,0.09742

R3,050,100,200,400
050,0.00399,0.00797,0.01882,0.02223
100,0.00279,0.00942,0.02142,0.02772
200,0.0016,0.01196,0.01861,0.02326
400,0.00324,0.00863,0.017,0.02607

RL,050,100,200,400
050,0.207,0.31762,0.42144,0.49175
100,0.1452,0.25535,0.38267,0.46915
200,0.10257,0.18857,0.32329,0.43463
400,0.06807,0.12882,0.23911,0.37112

RSU,050,100,200,400
050,0.06468,0.12368,0.2027,0.25697
100,0.02733,0.07462,0.15625,0.21961
200,0.01353,0.04227,0.10925,0.18956
400,0.00518,0.01792,0.05772,0.13313

RS,050,100,200,400
050,0.05255,0.10861,0.18547,0.23899
100,0.02252,0.06718,0.1469,0.2095
200,0.01169,0.03915,0.10483,0.18447
400,0.00454,0.01676,0.05584,0.13066

