Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00189,0.0,0.00045,0.00049
100,0.00189,0.00099,0.00098,0.00158
200,0.00189,0.00469,0.00228,0.0027
400,0.00802,0.00918,0.00854,0.00758

RW,050,100,200,400
050,0.09955,0.07039,0.04428,0.02621
100,0.13012,0.10435,0.07176,0.04283
200,0.16834,0.14873,0.11312,0.0731
400,0.22412,0.19732,0.16208,0.11707

R1,050,100,200,400
050,0.21402,0.16319,0.10895,0.06589
100,0.27936,0.24924,0.18563,0.11831
200,0.37732,0.36588,0.30465,0.21389
400,0.49475,0.48778,0.44662,0.35835

R2,050,100,200,400
050,0.04234,0.03696,0.0278,0.01686
100,0.06469,0.05133,0.04637,0.02978
200,0.08278,0.09305,0.07613,0.04924
400,0.1344,0.14307,0.12515,0.0912

R3,050,100,200,400
050,0.00366,0.00422,0.00467,0.00288
100,0.00585,0.00938,0.01013,0.00693
200,0.00585,0.02129,0.01648,0.01081
400,0.0231,0.03123,0.03096,0.02449

RL,050,100,200,400
050,0.1934,0.15278,0.10322,0.06338
100,0.25988,0.23467,0.17719,0.1143
200,0.35274,0.33855,0.29069,0.20466
400,0.46759,0.456,0.42552,0.34429

RSU,050,100,200,400
050,0.05448,0.02801,0.01229,0.00444
100,0.08798,0.06488,0.03398,0.01349
200,0.15276,0.13581,0.08774,0.04254
400,0.23729,0.22222,0.18125,0.11454

RS,050,100,200,400
050,0.04372,0.02354,0.01066,0.0039
100,0.07511,0.05854,0.03137,0.01255
200,0.13777,0.12793,0.08401,0.04101
400,0.21994,0.21316,0.17664,0.11234

