Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0,0.00142,0.00174,0.00207
100,0.0,0.00201,0.00064,0.0
200,0.00249,0.00735,0.00592,0.00508
400,0.00047,0.00375,0.0048,0.00826

RW,050,100,200,400
050,0.13274,0.11961,0.08682,0.05636
100,0.14962,0.14963,0.12648,0.08628
200,0.12238,0.15799,0.14685,0.12515
400,0.08604,0.12367,0.14518,0.14918

R1,050,100,200,400
050,0.22852,0.23623,0.19737,0.1335
100,0.27068,0.30764,0.29608,0.22197
200,0.19891,0.29865,0.33587,0.32344
400,0.13181,0.21955,0.30586,0.37857

R2,050,100,200,400
050,0.05694,0.0637,0.04682,0.03505
100,0.05631,0.07305,0.06409,0.04877
200,0.04691,0.07712,0.08139,0.0815
400,0.02723,0.05982,0.07339,0.09369

R3,050,100,200,400
050,0.00796,0.00957,0.00825,0.00863
100,0.00915,0.01587,0.01358,0.00848
200,0.01085,0.02274,0.02215,0.02024
400,0.00418,0.01521,0.01926,0.02515

RL,050,100,200,400
050,0.2193,0.22308,0.18641,0.12788
100,0.24202,0.28137,0.27465,0.2096
200,0.18705,0.28264,0.31802,0.31245
400,0.1264,0.21017,0.2934,0.36328

RSU,050,100,200,400
050,0.0543,0.04702,0.02675,0.0109
100,0.06411,0.08982,0.07367,0.03514
200,0.03045,0.07884,0.10623,0.08669
400,0.01088,0.03431,0.07845,0.12828

RS,050,100,200,400
050,0.04303,0.03951,0.02326,0.00969
100,0.0553,0.08221,0.069,0.03317
200,0.02683,0.07411,0.10218,0.08415
400,0.00964,0.03228,0.07591,0.126

