Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0,0.00221,0.00467,0.00911
100,0.0,0.00204,0.00096,0.0
200,0.00158,0.00563,0.00603,0.0076
400,0.00027,0.00237,0.00367,0.00844

RW,050,100,200,400
050,0.17799,0.25671,0.31835,0.37131
100,0.13849,0.20044,0.26832,0.31394
200,0.08851,0.14671,0.19529,0.26241
400,0.05282,0.08917,0.13466,0.19813

R1,050,100,200,400
050,0.24018,0.36764,0.49399,0.58803
100,0.21144,0.32011,0.45412,0.55888
200,0.12848,0.23167,0.3451,0.49396
400,0.07573,0.14094,0.23603,0.39058

R2,050,100,200,400
050,0.0583,0.09888,0.11664,0.15373
100,0.04308,0.07506,0.09602,0.12092
200,0.03011,0.05941,0.08277,0.12376
400,0.01558,0.03824,0.05631,0.09626

R3,050,100,200,400
050,0.00849,0.01515,0.02133,0.03815
100,0.00689,0.0162,0.02007,0.02097
200,0.00698,0.01748,0.0225,0.03068
400,0.00239,0.00968,0.01473,0.02582

RL,050,100,200,400
050,0.23055,0.34806,0.46879,0.56403
100,0.1887,0.29292,0.42066,0.52772
200,0.12077,0.21922,0.32664,0.47721
400,0.07263,0.1349,0.22632,0.37472

RSU,050,100,200,400
050,0.05956,0.12533,0.21474,0.31428
100,0.04238,0.09727,0.191,0.2963
200,0.0166,0.0517,0.11271,0.22442
400,0.00557,0.01857,0.05107,0.13764

RS,050,100,200,400
050,0.04708,0.10812,0.19479,0.29475
100,0.0363,0.08914,0.1814,0.28665
200,0.01457,0.04844,0.10849,0.21944
400,0.00493,0.01744,0.04933,0.13526

