Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0,0.00105,0.00107,0.00117
100,0.0,0.00198,0.00048,0.0
200,0.00587,0.01067,0.00583,0.00383
400,0.00196,0.00901,0.00697,0.00814

RW,050,100,200,400
050,0.10672,0.07833,0.05044,0.03056
100,0.16373,0.11986,0.08303,0.05012
200,0.20036,0.17199,0.11813,0.08248
400,0.23392,0.20267,0.15824,0.12019

R1,050,100,200,400
050,0.22039,0.1749,0.12391,0.07549
100,0.37858,0.29711,0.22052,0.1388
200,0.44385,0.42164,0.32846,0.24141
400,0.51185,0.49801,0.43642,0.36899

R2,050,100,200,400
050,0.05581,0.04716,0.02938,0.01982
100,0.08162,0.07141,0.0483,0.03062
200,0.10716,0.11042,0.08044,0.06105
400,0.10886,0.13778,0.10584,0.09171

R3,050,100,200,400
050,0.0075,0.007,0.00512,0.00487
100,0.01367,0.0156,0.0103,0.00533
200,0.02444,0.03267,0.02193,0.01518
400,0.01682,0.03569,0.02795,0.02464

RL,050,100,200,400
050,0.21151,0.16498,0.11689,0.0723
100,0.33961,0.27166,0.20473,0.13107
200,0.41798,0.39909,0.3111,0.23319
400,0.49063,0.47691,0.41899,0.35417

RSU,050,100,200,400
050,0.05159,0.0292,0.01433,0.00555
100,0.13545,0.08425,0.04601,0.01872
200,0.19048,0.16891,0.10208,0.0543
400,0.24378,0.22739,0.17275,0.12225

RS,050,100,200,400
050,0.04098,0.02439,0.01242,0.00493
100,0.11964,0.07703,0.04294,0.01765
200,0.17433,0.16051,0.09815,0.05262
400,0.22701,0.2184,0.16814,0.12004

