Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00181,0.0,0.00209,0.00048
100,0.00724,0.00404,0.00797,0.00646
200,0.02451,0.00818,0.01281,0.01581
400,0.02369,0.01103,0.01748,0.02162

RW,050,100,200,400
050,0.1111,0.07929,0.04982,0.03264
100,0.14952,0.10989,0.08244,0.05584
200,0.20072,0.15952,0.12673,0.08941
400,0.24609,0.20429,0.17279,0.13368

R1,050,100,200,400
050,0.24014,0.18994,0.12953,0.08686
100,0.323,0.26497,0.21603,0.15758
200,0.4296,0.39028,0.34784,0.26797
400,0.52645,0.51108,0.47784,0.41175

R2,050,100,200,400
050,0.04755,0.03763,0.02711,0.01818
100,0.07344,0.06145,0.05437,0.0439
200,0.10664,0.08487,0.08067,0.07807
400,0.13536,0.11962,0.11013,0.11656

R3,050,100,200,400
050,0.01345,0.00583,0.00763,0.00343
100,0.01833,0.01462,0.01834,0.01556
200,0.04053,0.02174,0.02645,0.03126
400,0.05132,0.0343,0.03821,0.04399

RL,050,100,200,400
050,0.21688,0.17268,0.11819,0.08249
100,0.29909,0.24133,0.20334,0.14988
200,0.40614,0.3619,0.32142,0.25366
400,0.50317,0.4749,0.45069,0.39367

RSU,050,100,200,400
050,0.06724,0.03748,0.01684,0.00702
100,0.11182,0.06822,0.0448,0.02368
200,0.18491,0.14462,0.11337,0.06653
400,0.27407,0.23507,0.20767,0.15244

RS,050,100,200,400
050,0.05595,0.03234,0.01493,0.00635
100,0.09802,0.0616,0.04184,0.02252
200,0.16853,0.13633,0.10932,0.06478
400,0.25693,0.22565,0.20296,0.15017

