Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0,0.0,0.00166,0.00139
100,0.0,0.00093,0.00451,0.00393
200,0.00699,0.00749,0.01069,0.00869
400,0.00503,0.00664,0.01027,0.01119

RW,050,100,200,400
050,0.11706,0.0979,0.08571,0.05862
100,0.12087,0.13117,0.11682,0.08661
200,0.09657,0.12467,0.15033,0.12587
400,0.07211,0.10789,0.14543,0.15195

R1,050,100,200,400
050,0.21324,0.2004,0.18859,0.1402
100,0.20076,0.25858,0.25877,0.22312
200,0.15756,0.24161,0.31923,0.32011
400,0.10794,0.19641,0.29904,0.36922

R2,050,100,200,400
050,0.03999,0.03939,0.03855,0.02546
100,0.04049,0.05407,0.06619,0.05429
200,0.03763,0.0581,0.08209,0.07539
400,0.02922,0.05,0.07713,0.09141

R3,050,100,200,400
050,0.00389,0.00523,0.00559,0.00401
100,0.00582,0.00788,0.01416,0.01331
200,0.01409,0.01908,0.02493,0.02235
400,0.01164,0.01679,0.02502,0.02897

RL,050,100,200,400
050,0.18769,0.18606,0.17968,0.13678
100,0.18558,0.24015,0.24937,0.21245
200,0.14197,0.22433,0.306,0.30589
400,0.10126,0.18342,0.28523,0.35475

RSU,050,100,200,400
050,0.05438,0.04333,0.02891,0.01295
100,0.03916,0.06553,0.06469,0.03997
200,0.02105,0.05625,0.09971,0.09539
400,0.00817,0.03096,0.07397,0.12792

RS,050,100,200,400
050,0.04471,0.0376,0.02569,0.0117
100,0.0336,0.06024,0.06089,0.03805
200,0.01871,0.05312,0.0963,0.09307
400,0.00735,0.02952,0.07193,0.12597

