Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0,0.0,0.00443,0.00601
100,0.0,0.00085,0.0064,0.00858
200,0.00432,0.00626,0.01032,0.0121
400,0.0028,0.00435,0.00747,0.01054

RW,050,100,200,400
050,0.1398,0.19224,0.26272,0.31758
100,0.10231,0.16241,0.20763,0.25641
200,0.06577,0.11072,0.17542,0.22425
400,0.04275,0.07542,0.12256,0.17596

R1,050,100,200,400
050,0.20227,0.29179,0.41006,0.51779
100,0.14486,0.256,0.34605,0.46785
200,0.0969,0.18291,0.29906,0.42641
400,0.06039,0.12401,0.21661,0.34272

R2,050,100,200,400
050,0.03915,0.06134,0.0876,0.09967
100,0.02943,0.05633,0.08901,0.11416
200,0.02323,0.04543,0.07746,0.10153
400,0.01634,0.03185,0.05587,0.08522

R3,050,100,200,400
050,0.00373,0.00745,0.01352,0.0171
100,0.00426,0.00911,0.01937,0.02805
200,0.00873,0.01537,0.02376,0.0304
400,0.00651,0.01084,0.01814,0.0271

RL,050,100,200,400
050,0.17812,0.27276,0.39135,0.50554
100,0.13408,0.23804,0.33392,0.44545
200,0.08737,0.16994,0.2867,0.4077
400,0.05664,0.11579,0.20659,0.3292

RSU,050,100,200,400
050,0.05079,0.10769,0.17794,0.27288
100,0.02374,0.0732,0.12482,0.22609
200,0.01113,0.03957,0.08979,0.1839
400,0.00415,0.01721,0.04472,0.11233

RS,050,100,200,400
050,0.04189,0.09698,0.16436,0.2588
100,0.02027,0.06803,0.11855,0.21921
200,0.00987,0.03747,0.0867,0.18032
400,0.00373,0.0164,0.04342,0.11058

