Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00952,0.0096,0.00972,0.0048
100,0.00957,0.00986,0.00963,0.00639
200,0.0048,0.01145,0.01057,0.00854
400,0.00383,0.0079,0.00949,0.00966

RW,050,100,200,400
050,0.13246,0.11203,0.08475,0.05392
100,0.13759,0.13613,0.11714,0.0851
200,0.11109,0.14244,0.14734,0.11941
400,0.08162,0.11948,0.15079,0.14881

R1,050,100,200,400
050,0.23956,0.22919,0.19313,0.1322
100,0.23571,0.27891,0.27392,0.2151
200,0.18087,0.27245,0.32859,0.30664
400,0.13134,0.22085,0.3153,0.37057

R2,050,100,200,400
050,0.05827,0.04883,0.04745,0.03266
100,0.05739,0.06498,0.06432,0.05132
200,0.04412,0.06906,0.07712,0.07023
400,0.02994,0.05135,0.07358,0.08136

R3,050,100,200,400
050,0.02061,0.0183,0.01795,0.01043
100,0.01853,0.01928,0.02115,0.01555
200,0.01306,0.02576,0.02445,0.02027
400,0.00974,0.0176,0.02219,0.02324

RL,050,100,200,400
050,0.21565,0.21182,0.18392,0.12695
100,0.21411,0.25901,0.25693,0.20448
200,0.17003,0.25723,0.31568,0.2952
400,0.12175,0.20522,0.30453,0.35889

RSU,050,100,200,400
050,0.06054,0.04613,0.02754,0.01095
100,0.05086,0.06994,0.06361,0.03223
200,0.0248,0.06377,0.10106,0.08008
400,0.01076,0.03505,0.08287,0.12343

RS,050,100,200,400
050,0.04915,0.03908,0.02419,0.00976
100,0.04343,0.06304,0.05929,0.03032
200,0.02175,0.05963,0.09723,0.07768
400,0.00965,0.03322,0.08051,0.12128

