Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0096,0.00731,0.00612,0.0027
100,0.01387,0.00924,0.00697,0.00396
200,0.01194,0.01691,0.01058,0.00649
400,0.01826,0.01934,0.01418,0.00994

RW,050,100,200,400
050,0.10907,0.0744,0.04985,0.0294
100,0.15348,0.11036,0.07804,0.0498
200,0.1908,0.16039,0.12275,0.08022
400,0.2363,0.20657,0.174,0.12469

R1,050,100,200,400
050,0.23847,0.17336,0.12309,0.07543
100,0.34138,0.27507,0.20744,0.13611
200,0.43248,0.40202,0.33401,0.23524
400,0.55221,0.53205,0.47651,0.3798

R2,050,100,200,400
050,0.05746,0.03667,0.0301,0.01856
100,0.0831,0.06359,0.04838,0.03234
200,0.10808,0.10289,0.07852,0.05387
400,0.12952,0.1246,0.11146,0.08345

R3,050,100,200,400
050,0.02054,0.0138,0.01134,0.00591
100,0.02684,0.01856,0.01575,0.00974
200,0.03255,0.03868,0.02505,0.01559
400,0.04435,0.04336,0.0338,0.024

RL,050,100,200,400
050,0.21515,0.16007,0.11712,0.07242
100,0.30995,0.25511,0.19458,0.12938
200,0.40613,0.3794,0.32085,0.22637
400,0.51213,0.49431,0.46015,0.36773

RSU,050,100,200,400
050,0.06099,0.02955,0.01492,0.00559
100,0.11616,0.0689,0.04062,0.0173
200,0.18572,0.15355,0.10552,0.05171
400,0.29003,0.26592,0.20898,0.12971

RS,050,100,200,400
050,0.04969,0.02494,0.01307,0.00498
100,0.10165,0.0622,0.03776,0.01625
200,0.16991,0.1456,0.10162,0.05009
400,0.27361,0.25743,0.20442,0.12749

