Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00198,0.00129,0.00078,0.00045
100,0.0,0.00202,0.00195,0.00131
200,0.0007,0.00262,0.00546,0.00482
400,0.00145,0.00368,0.00547,0.00977

RW,050,100,200,400
050,0.12081,0.1014,0.07739,0.04929
100,0.11568,0.12759,0.11972,0.08425
200,0.10803,0.13394,0.15282,0.12731
400,0.08429,0.11971,0.15973,0.15823

R1,050,100,200,400
050,0.21343,0.20634,0.1698,0.11584
100,0.19651,0.24946,0.26933,0.2158
200,0.16977,0.25569,0.34381,0.33284
400,0.12567,0.21018,0.33233,0.40046

R2,050,100,200,400
050,0.02856,0.0284,0.02642,0.01744
100,0.02039,0.04338,0.05339,0.04523
200,0.02764,0.04866,0.06885,0.06985
400,0.02042,0.04356,0.07534,0.09301

R3,050,100,200,400
050,0.00587,0.0039,0.00236,0.00174
100,0.0,0.00583,0.01013,0.00684
200,0.00292,0.00916,0.01517,0.01619
400,0.00285,0.00916,0.0169,0.02406

RL,050,100,200,400
050,0.19476,0.18881,0.16455,0.11231
100,0.18173,0.23298,0.26054,0.20813
200,0.16002,0.2406,0.32955,0.32002
400,0.12049,0.20047,0.32153,0.38587

RSU,050,100,200,400
050,0.04856,0.03872,0.02097,0.00836
100,0.03496,0.05784,0.0624,0.03222
200,0.02012,0.0561,0.10812,0.09037
400,0.01003,0.03045,0.08938,0.14127

RS,050,100,200,400
050,0.03782,0.03208,0.018,0.00729
100,0.02867,0.05155,0.05817,0.03028
200,0.01733,0.05223,0.10421,0.08781
400,0.00897,0.02869,0.08692,0.13903

