Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00207,0.00207,0.00207,0.00207
100,0.0,0.00195,0.00286,0.00313
200,0.00041,0.0019,0.00541,0.00696
400,0.00081,0.0023,0.00416,0.00975

RW,050,100,200,400
050,0.14503,0.19242,0.25671,0.29404
100,0.09906,0.1539,0.23207,0.27719
200,0.07358,0.11512,0.18732,0.24302
400,0.05007,0.08223,0.1404,0.19526

R1,050,100,200,400
050,0.20618,0.29334,0.39531,0.46475
100,0.14498,0.24154,0.38558,0.49389
200,0.10545,0.18903,0.33371,0.46762
400,0.07071,0.13097,0.24753,0.38864

R2,050,100,200,400
050,0.02763,0.04066,0.06252,0.07116
100,0.01478,0.04191,0.07657,0.10543
200,0.01699,0.03594,0.06704,0.0986
400,0.01143,0.0271,0.05622,0.0907

R3,050,100,200,400
050,0.00585,0.00585,0.00585,0.00759
100,0.0,0.00569,0.01463,0.01631
200,0.00174,0.00675,0.015,0.02318
400,0.00161,0.00574,0.0128,0.0238

RL,050,100,200,400
050,0.18858,0.26892,0.38299,0.45075
100,0.13393,0.22542,0.37286,0.47639
200,0.09937,0.17774,0.31988,0.44962
400,0.0678,0.12491,0.2395,0.37457

RSU,050,100,200,400
050,0.04548,0.08448,0.14757,0.20432
100,0.02157,0.05452,0.13873,0.21938
200,0.01068,0.03474,0.10221,0.1922
400,0.0051,0.01617,0.0556,0.13386

RS,050,100,200,400
050,0.03526,0.07149,0.13192,0.18762
100,0.01757,0.04852,0.13073,0.21046
200,0.00918,0.03224,0.09843,0.18771
400,0.00456,0.01522,0.05397,0.13171

