Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00189,0.00094,0.00048,0.00025
100,0.0,0.0021,0.00148,0.00083
200,0.00238,0.00425,0.00553,0.00369
400,0.00676,0.00907,0.00799,0.0098

RW,050,100,200,400
050,0.10431,0.069,0.04562,0.02692
100,0.14028,0.10934,0.08091,0.04973
200,0.20606,0.16129,0.12986,0.08654
400,0.26885,0.22145,0.18634,0.13355

R1,050,100,200,400
050,0.2227,0.15955,0.10823,0.06622
100,0.30753,0.25918,0.20758,0.13828
200,0.44164,0.3986,0.35686,0.25944
400,0.56853,0.53434,0.5077,0.41469

R2,050,100,200,400
050,0.02985,0.0219,0.01677,0.00994
100,0.03312,0.04515,0.0411,0.02883
200,0.0754,0.07615,0.07121,0.05429
400,0.09627,0.11153,0.11463,0.09578

R3,050,100,200,400
050,0.00595,0.00293,0.00148,0.00098
100,0.0,0.006,0.00776,0.00433
200,0.00914,0.0144,0.0154,0.01246
400,0.01286,0.0227,0.02489,0.02438

RL,050,100,200,400
050,0.20275,0.14584,0.10489,0.0642
100,0.28495,0.24221,0.20084,0.13335
200,0.41655,0.37572,0.34205,0.24944
400,0.54489,0.50985,0.49113,0.39947

RSU,050,100,200,400
050,0.05359,0.02529,0.0113,0.00427
100,0.09648,0.06298,0.04059,0.01742
200,0.18296,0.15204,0.11789,0.05972
400,0.31463,0.26434,0.23196,0.15175

RS,050,100,200,400
050,0.04207,0.02083,0.00967,0.00372
100,0.08189,0.05628,0.03773,0.01635
200,0.16567,0.14362,0.11377,0.05794
400,0.29725,0.25505,0.22718,0.1494

