Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.06199,0.01381,0.00393
100,0.12517,1.0,0.03145,0.01118
200,0.05753,0.06337,1.0,0.08285
400,0.03163,0.04218,0.15902,1.0

RW,050,100,200,400
050,0.52676,0.1442,0.06769,0.03306
100,0.29361,0.46979,0.11968,0.06177
200,0.28927,0.24351,0.42138,0.11994
400,0.28891,0.25514,0.26704,0.37546

R1,050,100,200,400
050,1.0,0.34552,0.17384,0.0923
100,0.67443,1.0,0.33534,0.17984
200,0.65179,0.64987,1.0,0.37248
400,0.67766,0.67661,0.72566,1.0

R2,050,100,200,400
050,1.0,0.1713,0.07057,0.03303
100,0.33749,1.0,0.13514,0.06515
200,0.27272,0.26685,1.0,0.199
400,0.25162,0.2477,0.3853,1.0

R3,050,100,200,400
050,1.0,0.10132,0.02911,0.01047
100,0.20136,1.0,0.05793,0.02588
200,0.1158,0.11577,1.0,0.12256
400,0.08136,0.09896,0.23535,1.0

RL,050,100,200,400
050,1.0,0.32121,0.16385,0.08734
100,0.60771,1.0,0.31215,0.17074
200,0.60319,0.58616,1.0,0.35804
400,0.61943,0.61594,0.69632,1.0

RSU,050,100,200,400
050,1.0,0.11724,0.03041,0.00861
100,0.4369,1.0,0.10292,0.03094
200,0.41202,0.3919,1.0,0.13761
400,0.43411,0.43191,0.50894,1.0

RS,050,100,200,400
050,1.0,0.10951,0.02789,0.00786
100,0.42083,1.0,0.09879,0.02958
200,0.39531,0.38313,1.0,0.13545
400,0.41695,0.42349,0.50501,1.0

