Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.30995,0.18508,0.13111
100,0.14563,1.0,0.24206,0.1835
200,0.03916,0.11562,1.0,0.49208
400,0.01391,0.0443,0.25428,1.0

RW,050,100,200,400
050,0.82215,0.51586,0.47581,0.4635
100,0.27867,0.72153,0.4581,0.44199
200,0.13242,0.24267,0.65217,0.50656
400,0.06868,0.13291,0.31332,0.58338

R1,050,100,200,400
050,1.0,0.73381,0.73459,0.75312
100,0.36437,1.0,0.74165,0.78519
200,0.17738,0.36152,1.0,0.94306
400,0.0948,0.19912,0.49278,1.0

R2,050,100,200,400
050,1.0,0.49512,0.3741,0.32808
100,0.24182,1.0,0.44291,0.4213
200,0.08742,0.21492,1.0,0.74057
400,0.0395,0.10549,0.38552,1.0

R3,050,100,200,400
050,1.0,0.37582,0.24163,0.18397
100,0.17959,1.0,0.30857,0.26125
200,0.05385,0.14845,1.0,0.59874
400,0.02108,0.06433,0.31062,1.0

RL,050,100,200,400
050,1.0,0.72171,0.69912,0.71727
100,0.35854,1.0,0.71572,0.76902
200,0.17043,0.35118,1.0,0.93043
400,0.08973,0.19399,0.4845,1.0

RSU,050,100,200,400
050,1.0,0.53549,0.49396,0.50611
100,0.13576,1.0,0.53801,0.5796
200,0.03005,0.12969,1.0,0.87448
400,0.00828,0.03775,0.23976,1.0

RS,050,100,200,400
050,1.0,0.52047,0.47559,0.48761
100,0.12767,1.0,0.53052,0.57226
200,0.02749,0.12565,1.0,0.87329
400,0.00751,0.0363,0.23746,1.0

