Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.14563,0.03916,0.01391
100,0.30995,1.0,0.11562,0.0443
200,0.18508,0.24206,1.0,0.25428
400,0.13111,0.1835,0.49208,1.0

RW,050,100,200,400
050,0.5378,0.17114,0.07404,0.03773
100,0.36914,0.4785,0.14457,0.07275
200,0.36149,0.33192,0.42217,0.17223
400,0.36055,0.34912,0.3883,0.3791

R1,050,100,200,400
050,1.0,0.36437,0.17738,0.0948
100,0.73381,1.0,0.36152,0.19912
200,0.73459,0.74165,1.0,0.49278
400,0.75312,0.78519,0.94306,1.0

R2,050,100,200,400
050,1.0,0.24182,0.08742,0.0395
100,0.49512,1.0,0.21492,0.10549
200,0.3741,0.44291,1.0,0.38552
400,0.32808,0.4213,0.74057,1.0

R3,050,100,200,400
050,1.0,0.17959,0.05385,0.02108
100,0.37582,1.0,0.14845,0.06433
200,0.24163,0.30857,1.0,0.31062
400,0.18397,0.26125,0.59874,1.0

RL,050,100,200,400
050,1.0,0.35846,0.16864,0.09028
100,0.72253,1.0,0.34853,0.19503
200,0.70593,0.7214,1.0,0.48619
400,0.71341,0.76482,0.92718,1.0

RSU,050,100,200,400
050,1.0,0.13576,0.03005,0.00828
100,0.53549,1.0,0.12969,0.03775
200,0.49396,0.53801,1.0,0.23976
400,0.50611,0.5796,0.87448,1.0

RS,050,100,200,400
050,1.0,0.12767,0.02749,0.00751
100,0.52047,1.0,0.12565,0.0363
200,0.47559,0.53052,1.0,0.23746
400,0.48761,0.57226,0.87329,1.0

