Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.01586,0.00316,0.00168
100,0.034,1.0,0.14313,0.02838
200,0.01213,0.14375,1.0,0.05078
400,0.01213,0.08199,0.09743,1.0

RW,050,100,200,400
050,0.53344,0.13905,0.06914,0.03729
100,0.27822,0.47369,0.16529,0.08467
200,0.28961,0.29492,0.43015,0.14271
400,0.30403,0.31109,0.29836,0.38584

R1,050,100,200,400
050,1.0,0.30654,0.16823,0.09442
100,0.59813,1.0,0.42645,0.22997
200,0.60598,0.69762,1.0,0.41118
400,0.64279,0.7177,0.77643,1.0

R2,050,100,200,400
050,1.0,0.10106,0.05566,0.02729
100,0.20403,1.0,0.24256,0.09728
200,0.20646,0.33899,1.0,0.19107
400,0.18945,0.29238,0.36218,1.0

R3,050,100,200,400
050,1.0,0.03559,0.01457,0.00727
100,0.07244,1.0,0.17288,0.04714
200,0.05489,0.20277,1.0,0.09471
400,0.05124,0.1401,0.18034,1.0

RL,050,100,200,400
050,1.0,0.29315,0.15895,0.09278
100,0.55828,1.0,0.41205,0.22318
200,0.57822,0.66044,1.0,0.39205
400,0.61115,0.69815,0.74379,1.0

RSU,050,100,200,400
050,1.0,0.09341,0.0275,0.00856
100,0.3329,1.0,0.21023,0.05832
200,0.34704,0.4517,1.0,0.16419
400,0.38632,0.48022,0.58213,1.0

RS,050,100,200,400
050,1.0,0.08582,0.02491,0.00773
100,0.31464,1.0,0.20621,0.05663
200,0.32903,0.44327,1.0,0.16172
400,0.36875,0.47206,0.57841,1.0

