Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.28569,0.20485,0.12183
100,0.28569,1.0,0.50439,0.2719
200,0.20485,0.50439,1.0,0.53498
400,0.12183,0.2719,0.53498,1.0

RW,050,100,200,400
050,0.6338,0.27169,0.18661,0.10469
100,0.33221,0.57664,0.32717,0.18499
200,0.25462,0.40396,0.51535,0.28897
400,0.16664,0.26408,0.37057,0.46173

R1,050,100,200,400
050,1.0,0.49696,0.36677,0.22954
100,0.49696,1.0,0.66066,0.40788
200,0.36677,0.66066,1.0,0.67291
400,0.22954,0.40788,0.67291,1.0

R2,050,100,200,400
050,1.0,0.37122,0.27927,0.17286
100,0.37122,1.0,0.59372,0.3479
200,0.27927,0.59372,1.0,0.61701
400,0.17286,0.3479,0.61701,1.0

R3,050,100,200,400
050,1.0,0.32038,0.23499,0.1422
100,0.32038,1.0,0.54505,0.30531
200,0.23499,0.54505,1.0,0.57312
400,0.1422,0.30531,0.57312,1.0

RL,050,100,200,400
050,1.0,0.48176,0.36073,0.22516
100,0.49436,1.0,0.65948,0.40558
200,0.35775,0.65695,1.0,0.67089
400,0.22427,0.40482,0.6716,1.0

RSU,050,100,200,400
050,1.0,0.23872,0.10578,0.03366
100,0.23872,1.0,0.39394,0.1265
200,0.10578,0.39394,1.0,0.41359
400,0.03366,0.1265,0.41359,1.0

RS,050,100,200,400
050,1.0,0.22878,0.10061,0.03173
100,0.22878,1.0,0.3886,0.12355
200,0.10061,0.3886,1.0,0.41081
400,0.03173,0.12355,0.41081,1.0

