Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.09797,0.03551,0.00886
100,0.09797,1.0,0.11013,0.02748
200,0.03551,0.11013,1.0,0.09704
400,0.00886,0.02748,0.09704,1.0

RW,050,100,200,400
050,0.63875,0.25681,0.14464,0.0745
100,0.29142,0.5782,0.24154,0.1239
200,0.20371,0.29522,0.5174,0.22007
400,0.11879,0.18459,0.28645,0.46212

R1,050,100,200,400
050,1.0,0.49345,0.30564,0.17173
100,0.49345,1.0,0.53428,0.31525
200,0.30564,0.53428,1.0,0.55954
400,0.17173,0.31525,0.55954,1.0

R2,050,100,200,400
050,1.0,0.27728,0.13784,0.07451
100,0.27728,1.0,0.29305,0.1417
200,0.13784,0.29305,1.0,0.30657
400,0.07451,0.1417,0.30657,1.0

R3,050,100,200,400
050,1.0,0.15283,0.05771,0.02301
100,0.15283,1.0,0.1735,0.0586
200,0.05771,0.1735,1.0,0.17128
400,0.02301,0.0586,0.17128,1.0

RL,050,100,200,400
050,1.0,0.47936,0.29901,0.16365
100,0.47055,1.0,0.52047,0.3027
200,0.29579,0.51506,1.0,0.54418
400,0.16775,0.30562,0.54873,1.0

RSU,050,100,200,400
050,1.0,0.23894,0.07661,0.01988
100,0.23894,1.0,0.26504,0.07486
200,0.07661,0.26504,1.0,0.28062
400,0.01988,0.07486,0.28062,1.0

RS,050,100,200,400
050,1.0,0.22774,0.07152,0.01829
100,0.22774,1.0,0.25891,0.07213
200,0.07152,0.25891,1.0,0.27738
400,0.01829,0.07213,0.27738,1.0

