Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.14576,0.08622,0.03886
100,0.07395,1.0,0.16308,0.0681
200,0.02239,0.08344,1.0,0.14469
400,0.005,0.01724,0.07307,1.0

RW,050,100,200,400
050,0.7812,0.49121,0.47165,0.44473
100,0.25767,0.72111,0.47255,0.41695
200,0.14269,0.26279,0.64666,0.43498
400,0.0712,0.12844,0.25233,0.57782

R1,050,100,200,400
050,1.0,0.71403,0.71397,0.71336
100,0.37833,1.0,0.78556,0.76265
200,0.19509,0.40635,1.0,0.83066
400,0.09771,0.19899,0.4222,1.0

R2,050,100,200,400
050,1.0,0.40393,0.32473,0.31751
100,0.21173,1.0,0.43086,0.34508
200,0.08778,0.2229,1.0,0.45567
400,0.04226,0.08929,0.23119,1.0

R3,050,100,200,400
050,1.0,0.22418,0.13665,0.10101
100,0.1162,1.0,0.25603,0.14454
200,0.03666,0.1317,1.0,0.25475
400,0.01301,0.0368,0.12913,1.0

RL,050,100,200,400
050,1.0,0.69258,0.69776,0.68273
100,0.36086,1.0,0.76494,0.73131
200,0.18886,0.39171,1.0,0.8078
400,0.09543,0.19292,0.41401,1.0

RSU,050,100,200,400
050,1.0,0.53315,0.52061,0.5176
100,0.15504,1.0,0.61615,0.57459
200,0.04155,0.17048,1.0,0.67991
400,0.01014,0.04012,0.17712,1.0

RS,050,100,200,400
050,1.0,0.51991,0.50655,0.50388
100,0.14681,1.0,0.60962,0.56736
200,0.03866,0.16599,1.0,0.67701
400,0.00932,0.03859,0.17476,1.0

