Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.07395,0.02239,0.005
100,0.14576,1.0,0.08344,0.01724
200,0.08622,0.16308,1.0,0.07307
400,0.03886,0.0681,0.14469,1.0

RW,050,100,200,400
050,0.54046,0.17432,0.08559,0.04068
100,0.33754,0.48284,0.16262,0.07285
200,0.36134,0.33975,0.43131,0.14742
400,0.36119,0.33053,0.3317,0.38509

R1,050,100,200,400
050,1.0,0.37833,0.19509,0.09771
100,0.71403,1.0,0.40635,0.19899
200,0.71397,0.78556,1.0,0.4222
400,0.71336,0.76265,0.83066,1.0

R2,050,100,200,400
050,1.0,0.21173,0.08778,0.04226
100,0.40393,1.0,0.2229,0.08929
200,0.32473,0.43086,1.0,0.23119
400,0.31751,0.34508,0.45567,1.0

R3,050,100,200,400
050,1.0,0.1162,0.03666,0.01301
100,0.22418,1.0,0.1317,0.0368
200,0.13665,0.25603,1.0,0.12913
400,0.10101,0.14454,0.25475,1.0

RL,050,100,200,400
050,1.0,0.36779,0.19092,0.09306
100,0.68039,1.0,0.39592,0.19113
200,0.69046,0.75742,1.0,0.41062
400,0.69786,0.7391,0.81474,1.0

RSU,050,100,200,400
050,1.0,0.15504,0.04155,0.01014
100,0.53315,1.0,0.17048,0.04012
200,0.52061,0.61615,1.0,0.17712
400,0.5176,0.57459,0.67991,1.0

RS,050,100,200,400
050,1.0,0.14681,0.03866,0.00932
100,0.51991,1.0,0.16599,0.03859
200,0.50655,0.60962,1.0,0.17476
400,0.50388,0.56736,0.67701,1.0

