Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.02643,0.01863,0.00573
100,0.05354,1.0,0.02751,0.00845
200,0.07528,0.05445,1.0,0.07491
400,0.04495,0.03322,0.14613,1.0

RW,050,100,200,400
050,0.53942,0.14911,0.07661,0.03864
100,0.32236,0.47986,0.13345,0.07293
200,0.33454,0.28585,0.4266,0.14594
400,0.35392,0.34257,0.31615,0.38225

R1,050,100,200,400
050,1.0,0.35441,0.18329,0.09934
100,0.69578,1.0,0.35314,0.20614
200,0.70673,0.69479,1.0,0.42442
400,0.74742,0.78991,0.82468,1.0

R2,050,100,200,400
050,1.0,0.14628,0.07569,0.03538
100,0.2884,1.0,0.13998,0.07316
200,0.28961,0.27688,1.0,0.2146
400,0.26761,0.28357,0.41717,1.0

R3,050,100,200,400
050,1.0,0.06009,0.03324,0.01422
100,0.1192,1.0,0.06019,0.02736
200,0.1306,0.11883,1.0,0.12416
400,0.10935,0.10715,0.24185,1.0

RL,050,100,200,400
050,1.0,0.3203,0.17119,0.09361
100,0.63736,1.0,0.32386,0.19789
200,0.66814,0.64586,1.0,0.41013
400,0.70972,0.75023,0.79173,1.0

RSU,050,100,200,400
050,1.0,0.11622,0.03069,0.0095
100,0.43342,1.0,0.12008,0.04035
200,0.42725,0.45513,1.0,0.17601
400,0.50813,0.58211,0.65842,1.0

RS,050,100,200,400
050,1.0,0.10786,0.02796,0.00869
100,0.4144,1.0,0.11582,0.03881
200,0.40692,0.44631,1.0,0.17368
400,0.49109,0.57447,0.65529,1.0

