Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.25713,0.12166,0.09499
100,0.12671,1.0,0.26289,0.16969
200,0.03033,0.13619,1.0,0.40311
400,0.01175,0.04452,0.20488,1.0

RW,050,100,200,400
050,0.84296,0.56863,0.53573,0.49609
100,0.31567,0.71514,0.51393,0.46689
200,0.16743,0.30726,0.65734,0.49656
400,0.08622,0.15454,0.29273,0.59303

R1,050,100,200,400
050,1.0,0.84974,0.87283,0.85087
100,0.43195,1.0,0.89656,0.89087
200,0.23087,0.47475,1.0,0.9346
400,0.11635,0.2439,0.48403,1.0

R2,050,100,200,400
050,1.0,0.53269,0.4069,0.37571
100,0.26653,1.0,0.56601,0.47858
200,0.10575,0.29778,1.0,0.68522
400,0.04988,0.12925,0.35263,1.0

R3,050,100,200,400
050,1.0,0.35987,0.21408,0.18805
100,0.17979,1.0,0.38649,0.27906
200,0.05469,0.20152,1.0,0.51904
400,0.02425,0.07403,0.2653,1.0

RL,050,100,200,400
050,1.0,0.79063,0.83411,0.81651
100,0.39656,1.0,0.83968,0.84131
200,0.21823,0.44333,1.0,0.90308
400,0.10968,0.22525,0.46613,1.0

RSU,050,100,200,400
050,1.0,0.69781,0.71198,0.67984
100,0.18609,1.0,0.78608,0.76382
200,0.05122,0.2243,1.0,0.84781
400,0.01301,0.05847,0.22884,1.0

RS,050,100,200,400
050,1.0,0.689,0.70253,0.66935
100,0.17855,1.0,0.78274,0.75976
200,0.04835,0.22022,1.0,0.84638
400,0.01215,0.05691,0.22668,1.0

