Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.20539,0.05932,0.04236
100,0.20539,1.0,0.17,0.04349
200,0.05932,0.17,1.0,0.20052
400,0.04236,0.04349,0.20052,1.0

RW,050,100,200,400
050,0.61476,0.29255,0.14982,0.08587
100,0.36591,0.55411,0.2538,0.14099
200,0.21376,0.34029,0.49998,0.23304
400,0.14261,0.22425,0.32182,0.44684

R1,050,100,200,400
050,1.0,0.60082,0.35912,0.22195
100,0.60082,1.0,0.63347,0.39213
200,0.35912,0.63347,1.0,0.64349
400,0.22195,0.39213,0.64349,1.0

R2,050,100,200,400
050,1.0,0.3746,0.17223,0.10468
100,0.3746,1.0,0.39039,0.19542
200,0.17223,0.39039,1.0,0.42337
400,0.10468,0.19542,0.42337,1.0

R3,050,100,200,400
050,1.0,0.26879,0.09732,0.05779
100,0.26879,1.0,0.25069,0.08711
200,0.09732,0.25069,1.0,0.28407
400,0.05779,0.08711,0.28407,1.0

RL,050,100,200,400
050,1.0,0.59032,0.34757,0.21661
100,0.581,1.0,0.60552,0.37663
200,0.33696,0.6017,1.0,0.62043
400,0.20797,0.37504,0.61895,1.0

RSU,050,100,200,400
050,1.0,0.31371,0.09412,0.03038
100,0.31371,1.0,0.35435,0.11277
200,0.09412,0.35435,1.0,0.37053
400,0.03038,0.11277,0.37053,1.0

RS,050,100,200,400
050,1.0,0.30434,0.08968,0.02881
100,0.30434,1.0,0.34951,0.11032
200,0.08968,0.34951,1.0,0.3681
400,0.02881,0.11032,0.3681,1.0

