Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.15057,0.03705,0.0238
100,0.32442,1.0,0.12845,0.02764
200,0.1494,0.25263,1.0,0.15211
400,0.19466,0.1037,0.29496,1.0

RW,050,100,200,400
050,0.51498,0.19382,0.08725,0.04669
100,0.42806,0.45637,0.16842,0.08278
200,0.38191,0.38413,0.4068,0.1551
400,0.42547,0.3824,0.35552,0.36514

R1,050,100,200,400
050,1.0,0.4522,0.22679,0.12623
100,0.89891,1.0,0.48195,0.24986
200,0.86584,0.92794,1.0,0.48943
400,0.92785,0.9226,0.94196,1.0

R2,050,100,200,400
050,1.0,0.27934,0.1085,0.05932
100,0.57105,1.0,0.29685,0.12443
200,0.41911,0.57269,1.0,0.32179
400,0.45016,0.46166,0.62055,1.0

R3,050,100,200,400
050,1.0,0.19855,0.06107,0.03257
100,0.4178,1.0,0.19003,0.05538
200,0.24055,0.37007,1.0,0.21565
400,0.25893,0.2071,0.41728,1.0

RL,050,100,200,400
050,1.0,0.44418,0.2195,0.12319
100,0.86923,1.0,0.46066,0.23993
200,0.81215,0.88188,1.0,0.47187
400,0.87024,0.8832,0.90606,1.0

RSU,050,100,200,400
050,1.0,0.1978,0.05043,0.01549
100,0.77454,1.0,0.22645,0.06092
200,0.717,0.83136,1.0,0.23659
400,0.80927,0.80653,0.86609,1.0

RS,050,100,200,400
050,1.0,0.19086,0.04793,0.01468
100,0.76809,1.0,0.22276,0.05952
200,0.70867,0.82858,1.0,0.23471
400,0.8021,0.80323,0.86501,1.0

