Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.12339,0.04576,0.01999
100,0.12339,1.0,0.1557,0.05417
200,0.04576,0.1557,1.0,0.25498
400,0.01999,0.05417,0.25498,1.0

RW,050,100,200,400
050,0.63567,0.28599,0.14407,0.07832
100,0.35298,0.57358,0.25955,0.13397
200,0.21397,0.33182,0.50897,0.23989
400,0.13994,0.21387,0.32638,0.45512

R1,050,100,200,400
050,1.0,0.57564,0.33717,0.2006
100,0.57564,1.0,0.59043,0.35307
200,0.33717,0.59043,1.0,0.62726
400,0.2006,0.35307,0.62726,1.0

R2,050,100,200,400
050,1.0,0.31404,0.15325,0.08369
100,0.31404,1.0,0.36115,0.17244
200,0.15325,0.36115,1.0,0.43771
400,0.08369,0.17244,0.43771,1.0

R3,050,100,200,400
050,1.0,0.19449,0.08169,0.04005
100,0.19449,1.0,0.23354,0.09597
200,0.08169,0.23354,1.0,0.32359
400,0.04005,0.09597,0.32359,1.0

RL,050,100,200,400
050,1.0,0.547,0.31422,0.19397
100,0.54396,1.0,0.5695,0.34788
200,0.31117,0.5587,1.0,0.61854
400,0.19325,0.34343,0.61677,1.0

RSU,050,100,200,400
050,1.0,0.28771,0.07959,0.02356
100,0.28771,1.0,0.29871,0.08723
200,0.07959,0.29871,1.0,0.34543
400,0.02356,0.08723,0.34543,1.0

RS,050,100,200,400
050,1.0,0.27598,0.07447,0.02193
100,0.27598,1.0,0.29282,0.08459
200,0.07447,0.29282,1.0,0.34257
400,0.02193,0.08459,0.34257,1.0

