Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.18494,0.11762,0.09684
100,0.09301,1.0,0.24174,0.14612
200,0.02849,0.11492,1.0,0.38419
400,0.01116,0.0333,0.19108,1.0

RW,050,100,200,400
050,0.80281,0.56354,0.49475,0.49914
100,0.31988,0.73215,0.53534,0.48063
200,0.1501,0.29314,0.64567,0.48592
400,0.08425,0.14863,0.29047,0.58003

R1,050,100,200,400
050,1.0,0.83238,0.80942,0.85597
100,0.44187,1.0,0.89286,0.88196
200,0.21336,0.44143,1.0,0.93313
400,0.11372,0.22103,0.47313,1.0

R2,050,100,200,400
050,1.0,0.45829,0.37516,0.36765
100,0.2399,1.0,0.55105,0.44128
200,0.09653,0.26882,1.0,0.6539
400,0.04727,0.10732,0.32945,1.0

R3,050,100,200,400
050,1.0,0.28585,0.20339,0.18386
100,0.14804,1.0,0.35936,0.25166
200,0.05124,0.17312,1.0,0.48521
400,0.0225,0.05938,0.24309,1.0

RL,050,100,200,400
050,1.0,0.7927,0.75653,0.82803
100,0.41693,1.0,0.86125,0.86882
200,0.19675,0.41763,1.0,0.92024
400,0.10954,0.21497,0.46516,1.0

RSU,050,100,200,400
050,1.0,0.64931,0.59206,0.65677
100,0.18672,1.0,0.7577,0.73386
200,0.04276,0.18641,1.0,0.84366
400,0.012,0.04645,0.21798,1.0

RS,050,100,200,400
050,1.0,0.63676,0.57685,0.64385
100,0.17805,1.0,0.75308,0.72891
200,0.0399,0.18213,1.0,0.8422
400,0.01116,0.04497,0.21582,1.0

