Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.01532,0.00772,0.00082
100,0.01532,1.0,0.0455,0.00799
200,0.00772,0.0455,1.0,0.04844
400,0.00082,0.00799,0.04844,1.0

RW,050,100,200,400
050,0.63044,0.18056,0.10636,0.05611
100,0.21219,0.56429,0.18757,0.10762
200,0.14831,0.23024,0.50428,0.18215
400,0.09151,0.16468,0.24548,0.45339

R1,050,100,200,400
050,1.0,0.36208,0.24418,0.14391
100,0.36208,1.0,0.45109,0.28922
200,0.24418,0.45109,1.0,0.52201
400,0.14391,0.28922,0.52201,1.0

R2,050,100,200,400
050,1.0,0.10828,0.06156,0.03248
100,0.10828,1.0,0.1844,0.10288
200,0.06156,0.1844,1.0,0.21231
400,0.03248,0.10288,0.21231,1.0

R3,050,100,200,400
050,1.0,0.03534,0.01763,0.00599
100,0.03534,1.0,0.09078,0.03254
200,0.01763,0.09078,1.0,0.09863
400,0.00599,0.03254,0.09863,1.0

RL,050,100,200,400
050,1.0,0.34483,0.22474,0.139
100,0.33514,1.0,0.43974,0.28047
200,0.22801,0.43508,1.0,0.49411
400,0.13749,0.27993,0.49863,1.0

RSU,050,100,200,400
050,1.0,0.11896,0.04397,0.0129
100,0.11896,1.0,0.1818,0.06387
200,0.04397,0.1818,1.0,0.24582
400,0.0129,0.06387,0.24582,1.0

RS,050,100,200,400
050,1.0,0.10957,0.04026,0.0117
100,0.10957,1.0,0.17656,0.06165
200,0.04026,0.17656,1.0,0.24303
400,0.0117,0.06165,0.24303,1.0

