Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.02288,0.01954,0.0037
100,0.01153,1.0,0.06777,0.02006
200,0.00482,0.03429,1.0,0.07092
400,0.00046,0.005,0.03684,1.0

RW,050,100,200,400
050,0.78811,0.36034,0.36756,0.35028
100,0.18789,0.71104,0.37622,0.36663
200,0.10311,0.20402,0.63595,0.35894
400,0.0551,0.11514,0.22043,0.57648

R1,050,100,200,400
050,1.0,0.53517,0.59515,0.60841
100,0.27435,1.0,0.66909,0.6925
200,0.15389,0.34075,1.0,0.76102
400,0.08167,0.18298,0.39813,1.0

R2,050,100,200,400
050,1.0,0.15971,0.15231,0.14059
100,0.08204,1.0,0.2745,0.24844
200,0.03863,0.13903,1.0,0.30951
400,0.01837,0.06495,0.16191,1.0

R3,050,100,200,400
050,1.0,0.05215,0.04458,0.02572
100,0.02675,1.0,0.13543,0.07925
200,0.011,0.06836,1.0,0.14397
400,0.00339,0.0205,0.07515,1.0

RL,050,100,200,400
050,1.0,0.51043,0.54923,0.58784
100,0.25366,1.0,0.65259,0.67107
200,0.14369,0.32851,1.0,0.72015
400,0.07803,0.17713,0.38033,1.0

RSU,050,100,200,400
050,1.0,0.27856,0.34033,0.35069
100,0.076,1.0,0.43681,0.47809
200,0.02355,0.11516,1.0,0.56702
400,0.00658,0.03427,0.15771,1.0

RS,050,100,200,400
050,1.0,0.26201,0.32476,0.33444
100,0.06961,1.0,0.4292,0.47099
200,0.0215,0.1115,1.0,0.5638
400,0.00596,0.03303,0.15568,1.0

