Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.01153,0.00482,0.00046
100,0.02288,1.0,0.03429,0.005
200,0.01954,0.06777,1.0,0.03684
400,0.0037,0.02006,0.07092,1.0

RW,050,100,200,400
050,0.52618,0.12057,0.06224,0.03052
100,0.24669,0.46877,0.12516,0.06316
200,0.26733,0.26559,0.41818,0.12239
400,0.27434,0.28984,0.27807,0.37394

R1,050,100,200,400
050,1.0,0.27435,0.15389,0.08167
100,0.53517,1.0,0.34075,0.18298
200,0.59515,0.66909,1.0,0.39813
400,0.60841,0.6925,0.76102,1.0

R2,050,100,200,400
050,1.0,0.08204,0.03863,0.01837
100,0.15971,1.0,0.13903,0.06495
200,0.15231,0.2745,1.0,0.16191
400,0.14059,0.24844,0.30951,1.0

R3,050,100,200,400
050,1.0,0.02675,0.011,0.00339
100,0.05215,1.0,0.06836,0.0205
200,0.04458,0.13543,1.0,0.07515
400,0.02572,0.07925,0.14397,1.0

RL,050,100,200,400
050,1.0,0.2611,0.14155,0.07889
100,0.49653,1.0,0.33208,0.17748
200,0.55599,0.64584,1.0,0.37691
400,0.5814,0.66985,0.72684,1.0

RSU,050,100,200,400
050,1.0,0.076,0.02355,0.00658
100,0.27856,1.0,0.11516,0.03427
200,0.34033,0.43681,1.0,0.15771
400,0.35069,0.47809,0.56702,1.0

RS,050,100,200,400
050,1.0,0.06961,0.0215,0.00596
100,0.26201,1.0,0.1115,0.03303
200,0.32476,0.4292,1.0,0.15568
400,0.33444,0.47099,0.5638,1.0

