Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.01809,0.0,0.0,0.0
100,0.01809,0.0,0.00837,0.00392
200,0.03104,0.0,0.01425,0.01232

RW,010,050,100,200
010,0.18072,0.06362,0.04221,0.02074
050,0.29278,0.12544,0.08318,0.05327
100,0.30594,0.16061,0.11496,0.08161
200,0.33644,0.21891,0.16768,0.12856

R1,010,050,100,200
010,0.32229,0.11662,0.0777,0.0419
050,0.47466,0.26279,0.17624,0.12616
100,0.50811,0.34993,0.26471,0.19997
200,0.54797,0.45406,0.39364,0.33022

R2,010,050,100,200
010,0.06176,0.02218,0.01386,0.00743
050,0.12859,0.06213,0.04177,0.02458
100,0.13228,0.07276,0.05926,0.04437
200,0.17692,0.11073,0.11076,0.08717

R3,010,050,100,200
010,0.01815,0.00544,0.00417,0.00222
050,0.03015,0.00796,0.00717,0.00233
100,0.03015,0.00504,0.01548,0.00917
200,0.05281,0.00839,0.03281,0.0286

RL,010,050,100,200
010,0.2742,0.11041,0.0777,0.04114
050,0.46336,0.25172,0.17162,0.12131
100,0.47758,0.33074,0.25237,0.19035
200,0.52383,0.43633,0.37951,0.31906

RSU,010,050,100,200
010,0.12972,0.01681,0.00727,0.00209
050,0.22628,0.06477,0.02953,0.01484
100,0.27206,0.1236,0.07133,0.03742
200,0.31006,0.20409,0.15174,0.09805

RS,010,050,100,200
010,0.08202,0.0108,0.00508,0.00145
050,0.16136,0.05225,0.02473,0.01295
100,0.20995,0.10968,0.0649,0.03464
200,0.25016,0.18822,0.14366,0.09409

