Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.00323,0.00621
100,0.0,0.0,0.00168,0.00654
200,0.0,0.00076,0.00083,0.02072

RW,010,050,100,200
010,0.21704,0.32971,0.3641,0.37495
050,0.07902,0.19739,0.25614,0.29278
100,0.05742,0.13785,0.20031,0.2523
200,0.03423,0.09136,0.1393,0.21649

R1,010,050,100,200
010,0.25436,0.40331,0.46297,0.47053
050,0.0958,0.27329,0.37759,0.45001
100,0.06796,0.19335,0.31387,0.43753
200,0.03975,0.13016,0.22186,0.37591

R2,010,050,100,200
010,0.04131,0.10021,0.08986,0.10711
050,0.01778,0.06369,0.08569,0.11577
100,0.01056,0.03928,0.06394,0.09619
200,0.00696,0.02739,0.04708,0.10299

R3,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.00599,0.0149,0.01773
100,0.0,0.00165,0.01077,0.01592
200,0.0,0.00232,0.00638,0.03822

RL,010,050,100,200
010,0.23211,0.37283,0.44328,0.452
050,0.08694,0.25002,0.35955,0.42422
100,0.0647,0.18719,0.29886,0.41324
200,0.03828,0.12489,0.21055,0.3591

RSU,010,050,100,200
010,0.07563,0.16342,0.22754,0.25621
050,0.01061,0.07309,0.13421,0.18422
100,0.00497,0.03629,0.08773,0.16822
200,0.00173,0.01557,0.04454,0.1179

RS,010,050,100,200
010,0.02931,0.09879,0.16549,0.1978
050,0.00535,0.05907,0.11643,0.16517
100,0.00288,0.03053,0.07926,0.15815
200,0.00108,0.01346,0.04121,0.11307

