Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.0015,0.00161
100,0.0,0.0,0.0015,0.00308
200,0.0,0.00269,0.0015,0.02037

RW,010,050,100,200
010,0.16786,0.06047,0.03524,0.01877
050,0.22319,0.1269,0.08383,0.04883
100,0.30147,0.16558,0.12309,0.07929
200,0.35843,0.21653,0.16569,0.13479

R1,010,050,100,200
010,0.27016,0.11457,0.0683,0.03564
050,0.37582,0.26323,0.18409,0.11269
100,0.4918,0.3479,0.28756,0.20806
200,0.57027,0.46615,0.39631,0.35323

R2,010,050,100,200
010,0.05655,0.02849,0.01285,0.00749
050,0.08437,0.06103,0.04176,0.02918
100,0.09833,0.07241,0.06163,0.046
200,0.13301,0.10027,0.08571,0.09799

R3,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.00621,0.00716,0.00481
100,0.0,0.003,0.01025,0.0077
200,0.0,0.0082,0.01164,0.03707

RL,010,050,100,200
010,0.2463,0.10346,0.06545,0.03414
050,0.33797,0.24126,0.17614,0.10628
100,0.47154,0.33672,0.27304,0.19641
200,0.55001,0.44633,0.37546,0.33691

RSU,010,050,100,200
010,0.08403,0.01525,0.00597,0.00171
050,0.15945,0.06831,0.03375,0.01233
100,0.24882,0.115,0.07577,0.03994
200,0.32977,0.19389,0.1393,0.10572

RS,010,050,100,200
010,0.03405,0.00902,0.00404,0.00116
050,0.09882,0.05545,0.02857,0.01061
100,0.17781,0.09938,0.06846,0.03701
200,0.25542,0.17521,0.1304,0.10137

