Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.0,0.00601
100,0.0,0.0,0.00629,0.01925
200,0.0,0.0,0.00277,0.01077

RW,010,050,100,200
010,0.23995,0.31832,0.41152,0.4134
050,0.08679,0.22195,0.2728,0.31161
100,0.04947,0.138,0.18724,0.25335
200,0.02985,0.08483,0.12973,0.18213

R1,010,050,100,200
010,0.29515,0.40024,0.53332,0.54356
050,0.10484,0.3154,0.42229,0.49855
100,0.06102,0.19798,0.28563,0.42655
200,0.03573,0.12626,0.20879,0.32587

R2,010,050,100,200
010,0.06345,0.09424,0.15603,0.16722
050,0.01971,0.08113,0.09244,0.14142
100,0.01228,0.04855,0.06124,0.12731
200,0.00707,0.02845,0.04723,0.09141

R3,010,050,100,200
010,0.0,0.0,0.0,0.03345
050,0.0,0.01371,0.01311,0.02806
100,0.00164,0.01042,0.01345,0.0376
200,0.00087,0.00526,0.01152,0.03053

RL,010,050,100,200
010,0.25231,0.35498,0.48109,0.51483
050,0.0956,0.29001,0.39078,0.46966
100,0.05555,0.18741,0.27279,0.3997
200,0.03316,0.11757,0.1971,0.30501

RSU,010,050,100,200
010,0.09494,0.15466,0.25687,0.30605
050,0.01288,0.09088,0.14766,0.21162
100,0.00487,0.03622,0.07264,0.16157
200,0.00159,0.01377,0.03805,0.09138

RS,010,050,100,200
010,0.04868,0.09185,0.1798,0.24373
050,0.00725,0.07672,0.12996,0.19297
100,0.00298,0.0306,0.06534,0.15254
200,0.00101,0.01189,0.03512,0.0873

