Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.02092,0.0,0.00138,0.00149
050,0.0,0.0,0.00135,0.00146
100,0.0,0.0,0.00288,0.00595
200,0.0,0.00231,0.01286,0.01034

RW,010,050,100,200
010,0.18027,0.07066,0.03529,0.02148
050,0.27006,0.1415,0.10805,0.06811
100,0.30981,0.19797,0.14508,0.10214
200,0.31358,0.23378,0.1867,0.14188

R1,010,050,100,200
010,0.32486,0.12956,0.07782,0.04559
050,0.4566,0.30261,0.24703,0.16607
100,0.50673,0.41663,0.33588,0.25727
200,0.53949,0.50354,0.45116,0.36581

R2,010,050,100,200
010,0.07031,0.03317,0.01645,0.01016
050,0.10239,0.08541,0.06397,0.03797
100,0.13555,0.104,0.07955,0.06033
200,0.12153,0.12667,0.11493,0.08842

R3,010,050,100,200
010,0.03347,0.01002,0.00408,0.0044
050,0.027,0.02312,0.01753,0.012
100,0.027,0.02899,0.02294,0.01935
200,0.027,0.03009,0.037,0.03184

RL,010,050,100,200
010,0.2719,0.11902,0.06775,0.04195
050,0.43579,0.27297,0.22732,0.15434
100,0.49632,0.39367,0.31738,0.24491
200,0.50341,0.46863,0.42046,0.34444

RSU,010,050,100,200
010,0.14221,0.02021,0.00689,0.00237
050,0.23829,0.08498,0.05632,0.02511
100,0.27804,0.15044,0.10426,0.06015
200,0.31986,0.21725,0.18886,0.11563

RS,010,050,100,200
010,0.09159,0.01313,0.00463,0.00166
050,0.17762,0.07096,0.04979,0.02266
100,0.21615,0.13256,0.0962,0.05664
200,0.25766,0.19735,0.17967,0.11116

