Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.00195,0.0
100,0.00557,0.00361,0.00146,0.00732
200,0.0,0.00224,0.00474,0.00978

RW,010,050,100,200
010,0.19469,0.09317,0.06373,0.03747
050,0.12774,0.1417,0.13367,0.09181
100,0.10868,0.15543,0.15641,0.12775
200,0.06036,0.12502,0.15763,0.15388

R1,010,050,100,200
010,0.30504,0.17066,0.12602,0.07677
050,0.18074,0.2382,0.2519,0.19647
100,0.1334,0.25452,0.30123,0.28776
200,0.078,0.2027,0.29478,0.33807

R2,010,050,100,200
010,0.0677,0.02643,0.01067,0.00982
050,0.02215,0.05181,0.05053,0.0335
100,0.03029,0.06194,0.05416,0.06022
200,0.01327,0.05042,0.06239,0.07882

R3,010,050,100,200
010,0.01268,0.00445,0.0,0.0
050,0.0,0.00254,0.01133,0.00542
100,0.00809,0.0162,0.00835,0.01931
200,0.00141,0.01338,0.01514,0.02519

RL,010,050,100,200
010,0.24264,0.14667,0.11164,0.06889
050,0.15944,0.23057,0.24283,0.19222
100,0.12869,0.2439,0.28334,0.27303
200,0.0713,0.19506,0.27989,0.32692

RSU,010,050,100,200
010,0.0926,0.02316,0.00993,0.00337
050,0.02266,0.0509,0.05095,0.02532
100,0.01327,0.05109,0.08028,0.06716
200,0.00367,0.02746,0.07012,0.09629

RS,010,050,100,200
010,0.05162,0.01232,0.00583,0.00208
050,0.01266,0.0393,0.04282,0.02188
100,0.00953,0.04331,0.07305,0.06275
200,0.0025,0.02398,0.06563,0.09221

