Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.00289,0.0
100,0.00304,0.00265,0.00137,0.01106
200,0.0,0.00141,0.00368,0.00998

RW,010,050,100,200
010,0.23184,0.30255,0.37205,0.40674
050,0.08731,0.17498,0.25673,0.29859
100,0.06541,0.13753,0.19399,0.24812
200,0.03323,0.08775,0.13942,0.19159

R1,010,050,100,200
010,0.29638,0.40895,0.51026,0.57086
050,0.1133,0.23773,0.36263,0.4573
100,0.076,0.19356,0.29829,0.42062
200,0.04173,0.12908,0.22261,0.33721

R2,010,050,100,200
010,0.06533,0.06523,0.04628,0.07891
050,0.01397,0.05099,0.0721,0.07968
100,0.01698,0.04666,0.05321,0.08832
200,0.00702,0.03193,0.04695,0.0786

R3,010,050,100,200
010,0.01177,0.01177,0.0,0.0
050,0.0,0.00232,0.01634,0.01292
100,0.00448,0.01217,0.00831,0.02867
200,0.00074,0.00845,0.01158,0.02538

RL,010,050,100,200
010,0.23722,0.3475,0.45003,0.50934
050,0.10001,0.22982,0.34906,0.44729
100,0.07332,0.18536,0.2806,0.39867
200,0.03814,0.12418,0.21142,0.3259

RSU,010,050,100,200
010,0.08926,0.16328,0.23116,0.29333
050,0.01215,0.05118,0.11472,0.17781
100,0.00678,0.0327,0.07895,0.15733
200,0.00185,0.01485,0.04475,0.09678

RS,010,050,100,200
010,0.04838,0.09856,0.16024,0.21846
050,0.00672,0.03968,0.0988,0.16005
100,0.00486,0.02756,0.07183,0.14883
200,0.00126,0.01293,0.04177,0.09274

