Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.00147,0.0
100,0.03343,0.0057,0.00156,0.00548
200,0.0,0.0057,0.00671,0.00961

RW,010,050,100,200
010,0.17003,0.05529,0.03491,0.01967
050,0.24534,0.11998,0.09077,0.05437
100,0.33297,0.18096,0.13174,0.08637
200,0.34093,0.2212,0.18309,0.12923

R1,010,050,100,200
010,0.31939,0.10833,0.07207,0.0412
050,0.45839,0.24035,0.19402,0.12536
100,0.56012,0.37641,0.30608,0.2194
200,0.6128,0.48067,0.44131,0.34045

R2,010,050,100,200
010,0.07188,0.01658,0.00604,0.00524
050,0.054,0.05317,0.03911,0.02125
100,0.14404,0.09321,0.05545,0.04581
200,0.12583,0.12169,0.09402,0.07936

R3,010,050,100,200
010,0.01374,0.00275,0.0,0.0
050,0.0,0.00279,0.00872,0.00344
100,0.04179,0.02441,0.00844,0.01458
200,0.01393,0.03272,0.0221,0.02508

RL,010,050,100,200
010,0.25186,0.09339,0.06388,0.03699
050,0.40403,0.23298,0.18718,0.12266
100,0.54039,0.36125,0.2879,0.2083
200,0.56295,0.46311,0.41877,0.3294

RSU,010,050,100,200
010,0.10004,0.01253,0.00508,0.0017
050,0.18952,0.05205,0.03317,0.01367
100,0.32692,0.12345,0.08366,0.04302
200,0.35444,0.19758,0.17162,0.09744

RS,010,050,100,200
010,0.05737,0.0066,0.00297,0.00104
050,0.12712,0.04009,0.02769,0.01177
100,0.27726,0.10723,0.07619,0.04006
200,0.29257,0.17912,0.16255,0.09329

