Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.91683,0.0,0.0,0.00422
050,0.0,1.0,0.09452,0.03174
100,0.0,0.09452,1.0,0.14324
200,0.00422,0.03174,0.14324,1.0

RW,010,050,100,200
010,0.82689,0.11563,0.05497,0.03407
050,0.16645,0.64034,0.20691,0.12123
100,0.08922,0.26873,0.57402,0.23783
200,0.05646,0.19534,0.30809,0.5102

R1,010,050,100,200
010,1.0,0.18964,0.10878,0.06129
050,0.18964,1.0,0.46055,0.30044
100,0.10878,0.46055,1.0,0.55204
200,0.06129,0.30044,0.55204,1.0

R2,010,050,100,200
010,1.0,0.09152,0.04709,0.02854
050,0.09152,1.0,0.27181,0.14717
100,0.04709,0.27181,1.0,0.32625
200,0.02854,0.14717,0.32625,1.0

R3,010,050,100,200
010,1.0,0.02165,0.01075,0.01089
050,0.02165,1.0,0.1747,0.07653
100,0.01075,0.1747,1.0,0.21274
200,0.01089,0.07653,0.21274,1.0

RL,010,050,100,200
010,1.0,0.18964,0.0916,0.05744
050,0.18964,1.0,0.42214,0.28358
100,0.10154,0.42376,1.0,0.52611
200,0.06129,0.28579,0.52662,1.0

RSU,010,050,100,200
010,1.0,0.02998,0.0075,0.00245
050,0.02998,1.0,0.17896,0.06581
100,0.0075,0.17896,1.0,0.25984
200,0.00245,0.06581,0.25984,1.0

RS,010,050,100,200
010,1.0,0.02041,0.00439,0.00158
050,0.02041,1.0,0.16792,0.06115
100,0.00439,0.16792,1.0,0.25405
200,0.00158,0.06115,0.25405,1.0

