Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.91683,0.0,0.0,0.06281
050,0.0,1.0,0.14294,0.08154
100,0.0,0.07083,1.0,0.21934
200,0.00219,0.0198,0.10646,1.0

RW,010,050,100,200
010,0.99092,0.5544,0.49142,0.56532
050,0.10563,0.82888,0.42329,0.42371
100,0.05077,0.2453,0.74407,0.48864
200,0.03024,0.13863,0.27759,0.65415

R1,010,050,100,200
010,1.0,0.60795,0.62771,0.66544
050,0.11308,1.0,0.67528,0.72204
100,0.05976,0.35053,1.0,0.8243
200,0.03218,0.19022,0.41541,1.0

R2,010,050,100,200
010,1.0,0.34442,0.31659,0.35846
050,0.05328,1.0,0.40293,0.36174
100,0.02556,0.20576,1.0,0.49171
200,0.0149,0.09266,0.24436,1.0

R3,010,050,100,200
010,1.0,0.08893,0.08893,0.15593
050,0.01239,1.0,0.26213,0.19258
100,0.00574,0.13143,1.0,0.323
200,0.00565,0.04793,0.15876,1.0

RL,010,050,100,200
010,1.0,0.60795,0.52882,0.61814
050,0.11308,1.0,0.61948,0.68164
100,0.05577,0.3224,1.0,0.78607
200,0.03218,0.18086,0.39609,1.0

RSU,010,050,100,200
010,1.0,0.40204,0.37176,0.44843
050,0.01566,1.0,0.41785,0.49177
100,0.0038,0.11479,1.0,0.63699
200,0.00123,0.0354,0.16362,1.0

RS,010,050,100,200
010,1.0,0.32407,0.26873,0.36094
050,0.01059,1.0,0.40114,0.47599
100,0.00222,0.10707,1.0,0.63078
200,0.00079,0.0328,0.15947,1.0

