Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.0,0.0,0.0
050,0.0,1.0,0.04872,0.02307
100,0.0,0.04872,1.0,0.18834
200,0.0,0.02307,0.18834,1.0

RW,010,050,100,200
010,0.80271,0.11825,0.06033,0.03757
050,0.15609,0.62915,0.18608,0.11182
100,0.0964,0.23673,0.56559,0.24246
200,0.06046,0.16602,0.29073,0.50469

R1,010,050,100,200
010,1.0,0.2035,0.11689,0.06951
050,0.2035,1.0,0.38379,0.26364
100,0.11689,0.38379,1.0,0.51696
200,0.06951,0.26364,0.51696,1.0

R2,010,050,100,200
010,1.0,0.04319,0.02809,0.01903
050,0.04319,1.0,0.16892,0.09805
100,0.02809,0.16892,1.0,0.3331
200,0.01903,0.09805,0.3331,1.0

R3,010,050,100,200
010,1.0,0.00507,0.00253,0.00404
050,0.00507,1.0,0.08868,0.04878
100,0.00253,0.08868,1.0,0.23871
200,0.00404,0.04878,0.23871,1.0

RL,010,050,100,200
010,1.0,0.18534,0.11213,0.06951
050,0.18953,1.0,0.36956,0.24777
100,0.1123,0.36967,1.0,0.5033
200,0.06951,0.24987,0.50231,1.0

RSU,010,050,100,200
010,1.0,0.03356,0.01002,0.00308
050,0.03356,1.0,0.13486,0.05039
100,0.01002,0.13486,1.0,0.24136
200,0.00308,0.05039,0.24136,1.0

RS,010,050,100,200
010,1.0,0.02317,0.00702,0.00214
050,0.02317,1.0,0.12558,0.04634
100,0.00702,0.12558,1.0,0.23598
200,0.00214,0.04634,0.23598,1.0

