Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00557,0.0,0.00155
050,0.00557,1.0,0.0609,0.00745
100,0.0,0.0609,1.0,0.0582
200,0.00155,0.00745,0.0582,1.0

RW,010,050,100,200
010,0.75216,0.16472,0.10222,0.05135
050,0.21795,0.6288,0.25081,0.13963
100,0.14203,0.30243,0.56747,0.21424
200,0.0805,0.20405,0.26688,0.50779

R1,010,050,100,200
010,1.0,0.29523,0.1808,0.09932
050,0.29523,1.0,0.51393,0.31834
100,0.1808,0.51393,1.0,0.49362
200,0.09932,0.31834,0.49362,1.0

R2,010,050,100,200
010,1.0,0.0877,0.05376,0.02879
050,0.0877,1.0,0.24231,0.11459
100,0.05376,0.24231,1.0,0.22899
200,0.02879,0.11459,0.22899,1.0

R3,010,050,100,200
010,1.0,0.02062,0.00858,0.00767
050,0.02062,1.0,0.11624,0.03493
100,0.00858,0.11624,1.0,0.11663
200,0.00767,0.03493,0.11663,1.0

RL,010,050,100,200
010,1.0,0.27765,0.17573,0.0951
050,0.27357,1.0,0.48907,0.30191
100,0.17573,0.48215,1.0,0.4676
200,0.0951,0.30302,0.47107,1.0

RSU,010,050,100,200
010,1.0,0.07253,0.02283,0.00608
050,0.07253,1.0,0.22894,0.06884
100,0.02283,0.22894,1.0,0.20217
200,0.00608,0.06884,0.20217,1.0

RS,010,050,100,200
010,1.0,0.05583,0.017,0.00445
050,0.05583,1.0,0.21743,0.06376
100,0.017,0.21743,1.0,0.19611
200,0.00445,0.06376,0.19611,1.0

