Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.0153,0.0,0.01295
050,0.0034,1.0,0.08896,0.01816
100,0.0,0.04643,1.0,0.08898
200,0.00082,0.00469,0.04335,1.0

RW,010,050,100,200
010,0.88554,0.46843,0.4988,0.47973
050,0.15568,0.76794,0.46067,0.44863
100,0.0871,0.26872,0.69342,0.42133
200,0.04488,0.14196,0.23056,0.62706

R1,010,050,100,200
010,1.0,0.63295,0.64161,0.65129
050,0.19325,1.0,0.73366,0.74772
100,0.10538,0.39645,1.0,0.73884
200,0.05381,0.20241,0.37133,1.0

R2,010,050,100,200
010,1.0,0.19343,0.20891,0.20718
050,0.05684,1.0,0.35068,0.27348
100,0.03088,0.1856,1.0,0.34425
200,0.01548,0.07254,0.1719,1.0

R3,010,050,100,200
010,1.0,0.05063,0.03736,0.06158
050,0.01296,1.0,0.16936,0.08412
100,0.00485,0.08872,1.0,0.17631
200,0.00409,0.02205,0.08733,1.0

RL,010,050,100,200
010,1.0,0.59121,0.62246,0.62082
050,0.17954,1.0,0.69866,0.70947
100,0.10246,0.37167,1.0,0.6998
200,0.05154,0.19263,0.35438,1.0

RSU,010,050,100,200
010,1.0,0.41174,0.41864,0.42398
050,0.03999,1.0,0.49973,0.4891
100,0.01175,0.14936,1.0,0.49682
200,0.00307,0.03707,0.1275,1.0

RS,010,050,100,200
010,1.0,0.35969,0.36841,0.37306
050,0.03043,1.0,0.48484,0.47199
100,0.00871,0.14098,1.0,0.48834
200,0.00224,0.03423,0.12327,1.0

