Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.06162,0.03202,0.01632
050,0.29524,1.0,0.23799,0.10082
100,0.29524,0.47372,1.0,0.24768
200,0.29524,0.40542,0.5018,1.0

RW,010,050,100,200
010,0.6682,0.13511,0.07444,0.03855
050,0.50714,0.53723,0.23125,0.10919
100,0.5459,0.46809,0.48202,0.20019
200,0.55569,0.46739,0.417,0.42971

R1,010,050,100,200
010,1.0,0.22155,0.12671,0.06654
050,0.79736,1.0,0.4799,0.23965
100,0.86426,0.91313,1.0,0.45549
200,0.89002,0.90256,0.90136,1.0

R2,010,050,100,200
010,1.0,0.14703,0.07924,0.03975
050,0.58171,1.0,0.3647,0.16465
100,0.60142,0.705,1.0,0.35348
200,0.59098,0.63579,0.70465,1.0

R3,010,050,100,200
010,1.0,0.08776,0.04552,0.02333
050,0.3775,1.0,0.29113,0.12517
100,0.3775,0.5711,1.0,0.29163
200,0.3775,0.49197,0.58597,1.0

RL,010,050,100,200
010,1.0,0.21886,0.12382,0.06493
050,0.78808,1.0,0.46139,0.23651
100,0.84573,0.88212,1.0,0.45086
200,0.86221,0.88567,0.89475,1.0

RSU,010,050,100,200
010,1.0,0.05862,0.01867,0.00533
050,0.67948,1.0,0.23302,0.05854
100,0.75461,0.82323,1.0,0.2097
200,0.79547,0.8,0.80868,1.0

RS,010,050,100,200
010,1.0,0.04842,0.01519,0.00433
050,0.64444,1.0,0.22416,0.05529
100,0.72237,0.81682,1.0,0.2052
200,0.77268,0.79292,0.80525,1.0

