Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.0,0.0,0.0
050,0.0,1.0,0.02347,0.01091
100,0.0,0.02347,1.0,0.04937
200,0.0,0.01091,0.04937,1.0

RW,010,050,100,200
010,0.79395,0.16614,0.08773,0.04913
050,0.23204,0.64156,0.20614,0.11501
100,0.12722,0.24863,0.57124,0.20187
200,0.07871,0.1612,0.25185,0.50847

R1,010,050,100,200
010,1.0,0.29632,0.16188,0.09174
050,0.29632,1.0,0.42715,0.25451
100,0.16188,0.42715,1.0,0.46087
200,0.09174,0.25451,0.46087,1.0

R2,010,050,100,200
010,1.0,0.07495,0.03397,0.02044
050,0.07495,1.0,0.17192,0.08488
100,0.03397,0.17192,1.0,0.20545
200,0.02044,0.08488,0.20545,1.0

R3,010,050,100,200
010,1.0,0.0051,0.00548,0.00329
050,0.0051,1.0,0.05716,0.02431
100,0.00548,0.05716,1.0,0.10253
200,0.00329,0.02431,0.10253,1.0

RL,010,050,100,200
010,1.0,0.28605,0.15929,0.09174
050,0.2763,1.0,0.39984,0.24402
100,0.14798,0.39162,1.0,0.44134
200,0.09003,0.24259,0.44471,1.0

RSU,010,050,100,200
010,1.0,0.07577,0.01871,0.00548
050,0.07577,1.0,0.1503,0.0472
100,0.01871,0.1503,1.0,0.18617
200,0.00548,0.0472,0.18617,1.0

RS,010,050,100,200
010,1.0,0.05771,0.01367,0.00391
050,0.05771,1.0,0.13888,0.04288
100,0.01367,0.13888,1.0,0.18023
200,0.00391,0.04288,0.18023,1.0

