Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.0,0.0,0.0
050,0.0,1.0,0.03609,0.03037
100,0.0,0.01741,1.0,0.07387
200,0.0,0.00665,0.03718,1.0

RW,010,050,100,200
010,0.9679,0.51538,0.51781,0.53691
050,0.16428,0.78572,0.41359,0.39281
100,0.07639,0.21264,0.70581,0.39082
200,0.04342,0.1099,0.22015,0.6235

R1,010,050,100,200
010,1.0,0.6794,0.67596,0.70235
050,0.19081,1.0,0.65112,0.63823
100,0.09218,0.31908,1.0,0.68626
200,0.04918,0.15941,0.34773,1.0

R2,010,050,100,200
010,1.0,0.17868,0.15261,0.17235
050,0.04762,1.0,0.26564,0.21835
100,0.01915,0.12757,1.0,0.30673
200,0.01087,0.0528,0.1548,1.0

R3,010,050,100,200
010,1.0,0.0131,0.02621,0.03017
050,0.00316,1.0,0.0871,0.06532
100,0.00306,0.04264,1.0,0.15317
200,0.00174,0.01496,0.07726,1.0

RL,010,050,100,200
010,1.0,0.65791,0.66301,0.70235
050,0.17819,1.0,0.60982,0.61182
100,0.08433,0.29245,1.0,0.65682
200,0.04824,0.15191,0.33559,1.0

RSU,010,050,100,200
010,1.0,0.48123,0.46646,0.50214
050,0.04142,1.0,0.37822,0.39316
100,0.00956,0.09447,1.0,0.45404
200,0.00276,0.02518,0.11776,1.0

RS,010,050,100,200
010,1.0,0.42282,0.40632,0.43852
050,0.03118,1.0,0.35828,0.37509
100,0.00696,0.08676,1.0,0.44562
200,0.00197,0.02281,0.11362,1.0

