Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.02394,0.01752,0.00371
050,0.02394,1.0,0.15417,0.05055
100,0.01752,0.15417,1.0,0.17751
200,0.00371,0.05055,0.17751,1.0

RW,010,050,100,200
010,0.80458,0.15124,0.0978,0.04507
050,0.19612,0.635,0.26817,0.14643
100,0.14493,0.35036,0.56892,0.2655
200,0.07903,0.22219,0.34721,0.50888

R1,010,050,100,200
010,1.0,0.25644,0.16455,0.08959
050,0.25644,1.0,0.57776,0.35509
100,0.16455,0.57776,1.0,0.61543
200,0.08959,0.35509,0.61543,1.0

R2,010,050,100,200
010,1.0,0.1081,0.07253,0.03321
050,0.1081,1.0,0.35511,0.18148
100,0.07253,0.35511,1.0,0.39698
200,0.03321,0.18148,0.39698,1.0

R3,010,050,100,200
010,1.0,0.05752,0.03673,0.01194
050,0.05752,1.0,0.22221,0.0913
100,0.03673,0.22221,1.0,0.26181
200,0.01194,0.0913,0.26181,1.0

RL,010,050,100,200
010,1.0,0.2506,0.16455,0.0879
050,0.2353,1.0,0.54342,0.32799
100,0.16455,0.54506,1.0,0.59316
200,0.0879,0.33313,0.58904,1.0

RSU,010,050,100,200
010,1.0,0.05521,0.01778,0.00506
050,0.05521,1.0,0.31111,0.09532
100,0.01778,0.31111,1.0,0.33671
200,0.00506,0.09532,0.33671,1.0

RS,010,050,100,200
010,1.0,0.04182,0.01272,0.00364
050,0.04182,1.0,0.3006,0.09017
100,0.01272,0.3006,1.0,0.33109
200,0.00364,0.09017,0.33109,1.0

