Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.01383,0.00948,0.00193
050,0.08964,1.0,0.11898,0.0321
100,0.11479,0.22177,1.0,0.13292
200,0.0496,0.12066,0.2681,1.0

RW,010,050,100,200
010,0.67322,0.0878,0.05318,0.02351
050,0.37593,0.52607,0.18284,0.08653
100,0.47013,0.39297,0.47361,0.17729
200,0.46372,0.38414,0.40191,0.42219

R1,010,050,100,200
010,1.0,0.15936,0.09285,0.0477
050,0.66806,1.0,0.44532,0.22585
100,0.746,0.83223,1.0,0.4652
200,0.75328,0.83849,0.91357,1.0

R2,010,050,100,200
010,1.0,0.06568,0.04042,0.01753
050,0.31001,1.0,0.27356,0.1152
100,0.3636,0.51223,1.0,0.29894
200,0.32062,0.43239,0.59346,1.0

R3,010,050,100,200
010,1.0,0.03409,0.02019,0.00625
050,0.18643,1.0,0.17115,0.0579
100,0.20655,0.32078,1.0,0.19666
200,0.13628,0.21868,0.3932,1.0

RL,010,050,100,200
010,1.0,0.15568,0.09285,0.0468
050,0.61283,1.0,0.41826,0.20867
100,0.746,0.78763,1.0,0.44847
200,0.73891,0.78713,0.87436,1.0

RSU,010,050,100,200
010,1.0,0.02951,0.00906,0.00254
050,0.45999,1.0,0.20496,0.05149
100,0.53273,0.67739,1.0,0.21389
200,0.56831,0.67384,0.81117,1.0

RS,010,050,100,200
010,1.0,0.02215,0.00646,0.00183
050,0.40386,1.0,0.19695,0.04857
100,0.46643,0.66748,1.0,0.20967
200,0.50197,0.66335,0.80785,1.0

