Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.08325,0.03122,0.0
050,0.01665,1.0,0.25448,0.12106
100,0.00316,0.12725,1.0,0.32209
200,0.0,0.0326,0.17446,1.0

RW,010,050,100,200
010,0.9437,0.55957,0.5291,0.51992
050,0.14627,0.75841,0.58844,0.53571
100,0.07365,0.34555,0.6866,0.5425
200,0.04382,0.17558,0.33032,0.61926

R1,010,050,100,200
010,1.0,0.77894,0.75869,0.80717
050,0.1867,1.0,0.93556,0.89588
100,0.09316,0.48211,1.0,0.93231
200,0.05466,0.25584,0.51562,1.0

R2,010,050,100,200
010,1.0,0.29828,0.25358,0.24533
050,0.06884,1.0,0.61056,0.45299
100,0.02927,0.31168,1.0,0.60511
200,0.01545,0.12742,0.33246,1.0

R3,010,050,100,200
010,1.0,0.12408,0.07665,0.05078
050,0.02804,1.0,0.39662,0.23168
100,0.00875,0.20009,1.0,0.43016
200,0.00306,0.06355,0.23461,1.0

RL,010,050,100,200
010,1.0,0.66887,0.67487,0.71386
050,0.15797,1.0,0.90722,0.8591
100,0.08058,0.46529,1.0,0.90476
200,0.04823,0.24153,0.49648,1.0

RSU,010,050,100,200
010,1.0,0.52933,0.53366,0.57582
050,0.03286,1.0,0.83682,0.7629
100,0.0088,0.22499,1.0,0.84898
200,0.00291,0.06382,0.26148,1.0

RS,010,050,100,200
010,1.0,0.47827,0.48317,0.52083
050,0.02584,1.0,0.83177,0.75588
100,0.00676,0.21819,1.0,0.8467
200,0.00221,0.06101,0.2577,1.0

