Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00838,0.0,0.00214
050,0.04187,1.0,0.0707,0.02307
100,0.0,0.1459,1.0,0.17988
200,0.04179,0.08978,0.35276,1.0

RW,010,050,100,200
010,0.66279,0.08125,0.04458,0.02398
050,0.33243,0.52788,0.18411,0.0959
100,0.3656,0.38087,0.47036,0.19184
200,0.38497,0.40197,0.38768,0.42371

R1,010,050,100,200
010,1.0,0.14968,0.08809,0.04611
050,0.5679,1.0,0.40607,0.21973
100,0.6615,0.79907,1.0,0.46797
200,0.65894,0.82053,0.88895,1.0

R2,010,050,100,200
010,1.0,0.05192,0.02455,0.01485
050,0.21873,1.0,0.21357,0.09361
100,0.2068,0.42567,1.0,0.31556
200,0.23514,0.35447,0.60524,1.0

R3,010,050,100,200
010,1.0,0.01412,0.00129,0.00426
050,0.06442,1.0,0.12114,0.04326
100,0.01657,0.24585,1.0,0.23443
200,0.07627,0.16659,0.45409,1.0

RL,010,050,100,200
010,1.0,0.136,0.08109,0.04319
050,0.54096,1.0,0.38765,0.20996
100,0.61136,0.75325,1.0,0.45604
200,0.63114,0.78055,0.86304,1.0

RSU,010,050,100,200
010,1.0,0.02186,0.00721,0.0022
050,0.29932,1.0,0.15168,0.04399
100,0.37138,0.58406,1.0,0.21384
200,0.40202,0.59828,0.76265,1.0

RS,010,050,100,200
010,1.0,0.01476,0.00497,0.00154
050,0.23818,1.0,0.14376,0.04113
100,0.30228,0.57076,1.0,0.20964
200,0.33456,0.58416,0.75858,1.0

