Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00446,0.00501,0.0
050,0.00446,1.0,0.15981,0.02102
100,0.00501,0.15981,1.0,0.13069
200,0.0,0.02102,0.13069,1.0

RW,010,050,100,200
010,0.77995,0.14955,0.08291,0.04287
050,0.20913,0.62743,0.27769,0.13902
100,0.13283,0.33461,0.56465,0.23756
200,0.07292,0.20286,0.28539,0.50339

R1,010,050,100,200
010,1.0,0.28486,0.16334,0.08864
050,0.28486,1.0,0.54594,0.31494
100,0.16334,0.54594,1.0,0.52851
200,0.08864,0.31494,0.52851,1.0

R2,010,050,100,200
010,1.0,0.07197,0.03941,0.01485
050,0.07197,1.0,0.32377,0.12268
100,0.03941,0.32377,1.0,0.29942
200,0.01485,0.12268,0.29942,1.0

R3,010,050,100,200
010,1.0,0.01709,0.01254,0.00273
050,0.01709,1.0,0.2259,0.04683
100,0.01254,0.2259,1.0,0.18722
200,0.00273,0.04683,0.18722,1.0

RL,010,050,100,200
010,1.0,0.26319,0.15393,0.0822
050,0.25892,1.0,0.52445,0.30135
100,0.15614,0.52629,1.0,0.51533
200,0.08209,0.30386,0.50698,1.0

RSU,010,050,100,200
010,1.0,0.05809,0.01717,0.00455
050,0.05809,1.0,0.25692,0.06761
100,0.01717,0.25692,1.0,0.24013
200,0.00455,0.06761,0.24013,1.0

RS,010,050,100,200
010,1.0,0.04329,0.0121,0.00315
050,0.04329,1.0,0.24582,0.06277
100,0.0121,0.24582,1.0,0.23437
200,0.00315,0.06277,0.23437,1.0

