Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.01374,0.0303,0.0
050,0.00266,1.0,0.23532,0.05089
100,0.00273,0.12123,1.0,0.19793
200,0.0,0.01326,0.09775,1.0

RW,010,050,100,200
010,0.95287,0.50075,0.49471,0.46663
050,0.14383,0.7807,0.53191,0.44374
100,0.07955,0.29914,0.7036,0.4574
200,0.0402,0.14276,0.25278,0.62133

R1,010,050,100,200
010,1.0,0.68992,0.6795,0.67549
050,0.17997,1.0,0.78948,0.73541
100,0.0929,0.41813,1.0,0.77843
200,0.04744,0.20083,0.40086,1.0

R2,010,050,100,200
010,1.0,0.19499,0.18113,0.12655
050,0.04426,1.0,0.47013,0.28949
100,0.02213,0.24743,1.0,0.44546
200,0.00789,0.07798,0.22594,1.0

R3,010,050,100,200
010,1.0,0.05123,0.06503,0.02781
050,0.01027,1.0,0.33026,0.11211
100,0.00695,0.17202,1.0,0.28119
200,0.00143,0.02964,0.14061,1.0

RL,010,050,100,200
010,1.0,0.63898,0.64002,0.62681
050,0.16343,1.0,0.75823,0.70493
100,0.08881,0.40316,1.0,0.75918
200,0.04394,0.19377,0.3844,1.0

RSU,010,050,100,200
010,1.0,0.42246,0.43541,0.42651
050,0.03129,1.0,0.57976,0.47668
100,0.00876,0.16589,1.0,0.57183
200,0.00229,0.03651,0.15276,1.0

RS,010,050,100,200
010,1.0,0.35833,0.368,0.36065
050,0.02311,1.0,0.56668,0.46055
100,0.00615,0.1578,1.0,0.56507
200,0.00158,0.0338,0.14862,1.0

