Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00266,0.00273,0.0
050,0.01374,1.0,0.12123,0.01326
100,0.0303,0.23532,1.0,0.09775
200,0.0,0.05089,0.19793,1.0

RW,010,050,100,200
010,0.66145,0.08808,0.04527,0.02247
050,0.38928,0.52507,0.18823,0.08261
100,0.40679,0.38081,0.47174,0.16081
200,0.39621,0.35342,0.32916,0.42347

R1,010,050,100,200
010,1.0,0.17997,0.0929,0.04744
050,0.68992,1.0,0.41813,0.20083
100,0.6795,0.78948,1.0,0.40086
200,0.67549,0.73541,0.77843,1.0

R2,010,050,100,200
010,1.0,0.04426,0.02213,0.00789
050,0.19499,1.0,0.24743,0.07798
100,0.18113,0.47013,1.0,0.22594
200,0.12655,0.28949,0.44546,1.0

R3,010,050,100,200
010,1.0,0.01027,0.00695,0.00143
050,0.05123,1.0,0.17202,0.02964
100,0.06503,0.33026,1.0,0.14061
200,0.02781,0.11211,0.28119,1.0

RL,010,050,100,200
010,1.0,0.16621,0.08756,0.044
050,0.62973,1.0,0.40174,0.19206
100,0.64936,0.76085,1.0,0.39083
200,0.6268,0.70941,0.74723,1.0

RSU,010,050,100,200
010,1.0,0.03129,0.00876,0.00229
050,0.42246,1.0,0.16589,0.03651
100,0.43541,0.57976,1.0,0.15276
200,0.42651,0.47668,0.57183,1.0

RS,010,050,100,200
010,1.0,0.02311,0.00615,0.00158
050,0.35833,1.0,0.1578,0.0338
100,0.368,0.56668,1.0,0.14862
200,0.36065,0.46055,0.56507,1.0

