Rows:CheckedSize,Columns:referencesSize,When refLen>checkedLen the values are multiplies by the relative size

R4,010,050,100,200
010,0.991683,0.098725,0.11691,0.1137
050,0.019745,1.0,0.246002,0.175256
100,0.011691,0.123001,1.0,0.321874
200,0.005685,0.043814,0.160937,1.0

RW,010,050,100,200
010,0.790956,0.77474,0.8837,0.97448
050,0.209457,0.63172,0.514756,0.574684
100,0.133034,0.319288,0.567215,0.498236
200,0.079657,0.209432,0.307197,0.507095

R1,010,050,100,200
010,1.0,1.356455,1.63001,1.86948
050,0.271291,1.0,1.05199,1.2993
100,0.163001,0.525995,1.0,1.107868
200,0.093474,0.324825,0.553934,1.0

R2,010,050,100,200
010,1.0,0.526065,0.60833,0.6683
050,0.105213,1.0,0.603152,0.60362
100,0.060833,0.301576,1.0,0.66758
200,0.033415,0.150905,0.33379,1.0

R3,010,050,100,200
010,1.0,0.195445,0.22734,0.24222
050,0.039089,1.0,0.376114,0.308896
100,0.022734,0.188057,1.0,0.447706
200,0.012111,0.077224,0.223853,1.0

RL,010,050,100,200
010,1.0,1.26437,1.53684,1.78168
050,0.250936,1.0,0.998182,1.236568
100,0.154373,0.49764,1.0,1.068912
200,0.089406,0.309987,0.533546,1.0

RSU,010,050,100,200
010,1.0,0.3028,0.18376,0.11154
050,0.06056,1.0,0.493548,0.310544
100,0.018376,0.246774,1.0,0.547122
200,0.005577,0.077636,0.273561,1.0

RS,010,050,100,200
010,1.0,0.23108,0.13553,0.08242
050,0.046216,1.0,0.471788,0.29088
100,0.013553,0.235894,1.0,0.5357
200,0.004121,0.07272,0.26785,1.0

